Year,Housing_Return
1890,
1891,-9.787911942104344
1892,1.808320123548235
1893,4.26286950490673
1894,16.52469927337119
1895,-9.210528967711307
1896,-13.365546333914313
1897,3.1598647561356774
1898,6.486474906053541
1899,-4.399310945676904
1900,14.336295439600711
1901,-16.099075997406096
1902,17.896674919251954
1903,1.564946872816475
1904,4.622500934627083
1905,-12.371136113713144
1906,18.65544923730922
1907,10.33994762976862
1908,-9.756094863303833
1909,-2.275972374573343
1910,8.005844396089511
1911,-2.2911143232442144
1912,3.8620778500314756
1913,0.0
1914,3.718444846706781
1915,-8.194622674647455
1916,9.48397646808874
1917,2.0382054028281527
1918,6.36704603296101
1919,9.976526201419178
1920,9.605114410135984
1921,-2.2395301032236636
1922,1.3944169770691905
1923,1.4734875665017633
1924,0.1936077093435573
1925,5.217390290902646
1926,-4.040402122359932
1927,-3.7320630655187537
1928,1.4910639283360227
1929,-2.0568074817057913
1930,-4.299999276248146
1931,-8.150482186114461
1932,-10.46642771626055
1933,-3.811948014411981
1934,2.9062072752155554
1935,9.765828063026905
1936,3.218606694564885
1937,2.563398183644594
1938,-0.8736957906846032
1939,-1.3016038781753836
1940,3.3066026593693287
1941,-8.384617036272212
1942,3.3330352361186755
1943,11.446269728687653
1944,16.584229425872987
1945,11.777375604134544
1946,24.101672397677774
1947,21.263835362429685
1948,2.058542944115116
1949,0.08937188157245313
1950,3.6403899622157176
1951,6.047664209538861
1952,4.406630418390289
1953,11.516624666555341
1954,0.9227058051774595
1955,0.0
1956,0.9142697847981385
1957,2.718028244902193
1958,0.6615432236419583
1959,0.10951055527008702
1960,0.7658674403288712
1961,0.9771651721183439
1962,0.322591325675714
1963,2.1436503273133845
1964,1.2591593946911894
1965,1.658002301182071
1966,1.223282244251478
1967,2.3161882062522565
1968,4.133876165557093
1969,6.994349850457349
1970,8.215496440358683
1971,4.244923829722014
1972,2.9757435694738765
1973,3.4220275692410596
1974,10.073521479539306
1975,6.757590093605481
1976,8.197959954665656
1977,14.664804469273761
1978,15.712545676004863
1979,13.736842105263158
1980,7.403979639055991
1981,5.084015510555795
1982,0.5740057400573928
1983,4.749286587851609
1984,4.670169293636883
1985,7.473508087005021
1986,9.617713198408563
1987,7.874388511914154
1988,7.211819777647754
1989,4.379860826852222
1990,-0.6928104575163463
1991,-0.18428326971172693
1992,0.8439931425557212
1993,2.157708905453126
1994,2.508960573476693
1995,1.8106893106893063
1996,2.4285539065374673
1997,4.035444856903347
1998,6.434162062615112
1999,7.68898020979778
2000,9.248845149628448
2001,6.682599503630837
2002,9.555402378080302
2003,9.81517892253243
2004,13.64319988541145
2005,13.505167632972025
2006,1.7378268835711586
2007,-5.3972931674306945
2008,-11.998846264782227
2009,-3.8544739429695385
2010,-4.111270198404582
2011,-3.896473265073941
2012,6.451612903225801
2013,10.71031415068111
2014,4.520057756293561
2015,5.2195327046669515
2016,5.331658865167266
2017,6.22696726642098
2018,4.545686444569164
2019,3.4354870193246345
2020,10.615210417059817
2021,18.843299496715836
