Year,Gold_Return,SP_Return,Ten_Return,SP_Return_div
1928,1.2676238437769438,45.493157903462446,2.014833747484457,43.81115515288789
1929,-0.7257638645753572,-8.831102325510077,3.5979632671342188,-8.29794661190966
1930,6.93586931296879,-20.00785897242965,11.683480932728285,-25.123636363636365
1931,-8.897144371084343,-38.06743417915991,7.452220259531717,-43.837548891786184
1932,35.16461489200595,1.8184304688174668,21.247208853971735,-8.642364532019696
1933,26.29545667615565,48.84599464877515,1.0836400147690162,49.982225433526025
1934,29.784425810875703,-2.663361771214723,6.352049539369831,-1.1885656970912803
1935,-2.478678444965776,42.48708191646771,1.4438769907682891,46.74042105263158
1936,-1.3436981298154071,30.058498468892637,3.517615309389144,31.94341027550261
1937,-3.000825779593075,-37.1329289871034,-1.4369385930368517,-35.33672875436554
1938,3.0345360880854155,32.97644718299584,7.190772368913834,29.282654028436017
1939,-1.2338593974175027,-1.0975646879756495,4.412261394206074,-1.0975646879756444
1940,-2.353493178952659,-11.306402690443939,4.654941812412661,-10.672873194221514
1941,-9.032259707804336,-20.65016424822217,-10.871807154993018,-12.771455576559552
1942,-8.284025296733278,9.301378276406314,-6.17926452460178,19.173762945914845
1943,-2.873563330030382,21.4675941850212,-0.45511505694815213,25.061310133060395
1944,-2.2471904620628758,16.35583093010624,0.2724968637545899,19.03067694944301
1945,0.2869813674559518,32.83600687446706,1.5230025802408065,35.821084337349404
1946,-15.348838547971855,-22.484209777969134,-12.700633167349695,-8.429147465437781
1947,-8.119658708634658,-3.3418809614836564,-7.274638144175838,5.2
1948,-2.904561495153246,2.6343207745872954,-1.0101936215894614,5.704575163398683
1949,-6.766353492520882,20.809649399333562,6.880933216139229,18.303223684210526
1950,3.4259420915802696,23.480432778056382,-5.194458586047546,30.805539011316263
1951,-5.660377358490576,16.677795325039924,-5.938975398191704,23.67846304454234
1952,-1.0920998240237956,17.2659589954141,1.5019407446425825,18.150988641144306
1953,-0.05500635093058648,-1.942712658748813,3.3695403797403767,-1.2082047421904465
1954,1.3274119882501934,53.70611080465644,4.063505210700602,52.5633212414349
1955,-0.40156483202002935,32.102568102713256,-1.7045849468604102,32.59733185102835
1956,-3.0094244136505854,4.325327810478674,-5.088935529504823,7.439511873350934
1957,-2.927998865561332,-12.979687457751321,3.7886470184710808,-10.45736018855796
1958,-1.3083413167574887,41.233455268669104,-3.7928035925976267,43.71995498874718
1959,-1.7006765942430002,10.15073922423877,-4.302297215021422,12.056457163557326
1960,-0.8644483500872324,-1.0102596979616685,10.140991445944692,0.336535314743695
1961,-0.7229931193459938,25.793462712533866,1.3805156151329268,26.637712958182753
1962,-1.3717772707681597,-10.011306760688598,4.302842957996611,-8.811460517120889
1963,-2.0090843749223986,20.627911586808633,0.03878417511284926,22.611927099841513
1964,-0.9333106195674068,15.296080818588997,2.730683504216702,16.415455878432425
1965,-1.830890454860623,10.278498724603002,-1.1815036460901651,12.399242477876115
1966,-3.315943723375714,-12.981044334842384,-0.5327505855163173,-9.97095423563779
1967,-3.4471171097303466,20.150965889815776,-4.483844103375945,23.802966513133327
1968,7.405674186629985,5.820394022676845,-1.3800072736255053,10.814862651601535
1969,-1.1165386229300633,-13.595983505822918,-10.556993435223616,-8.241371076449063
1970,-14.225559500314578,-1.9031349582383283,10.594313213890327,3.561144905496419
1971,13.002388039363776,10.608317636955311,6.314320088369851,14.221150298426474
1972,43.883803851323066,14.843417143877868,-0.5685154376477874,18.755362915074926
1973,59.106754422731036,-21.170821152937158,-4.643001277929947,-14.308047437526472
1974,47.89963874847092,-34.03973854439995,-9.212450487897073,-25.901785750896973
1975,-29.67683752078201,28.10896148027431,-3.1150906280541624,36.99513710618436
1976,-8.548794845938446,18.086267413227517,10.603838829241008,23.830999002106662
1977,14.93741457271871,-12.821557651257187,-5.071243822944305,-6.979704075935232
1978,25.677943079023137,-2.300934488834949,-8.985045357080857,6.50928391167193
1979,99.96539317669743,4.612382769560663,-11.1420078492527,18.519490167516388
1980,2.3723201660559523,17.08103226533668,-13.781153710173012,31.73524550676301
1981,-38.11973841855645,-12.508680722209453,-0.663908369326216,-4.702390247495576
1982,11.357868979060793,15.977365532145772,27.915648761589118,20.419055079559353
1983,-19.836208280853253,17.868774202662507,-0.569192578061295,22.33715585893062
1984,-22.44019578390133,2.113997225396158,9.413005807676367,6.14614199963621
1985,2.12139396273614,26.432399842665568,21.11184874777914,31.235149485768947
1986,17.664707523710387,17.207754817900444,22.93451707875991,18.49457875804619
1987,19.23977455099859,1.3198062839471447,-8.99598201121895,5.812721641821871
1988,-18.841825078350315,11.604914078756723,3.643178833785976,16.537192812044687
1989,-7.15453898075773,25.636479525221123,12.466969677618266,31.475183638196725
1990,-8.686714721995992,-8.642950578884989,0.12168493503901257,-3.0644516129032118
1991,-11.276479205538092,26.36273511528897,11.5852262486259,30.234843134879757
1992,-8.391353523846313,4.463604430467716,6.278859575919049,7.493727972380064
1993,14.53022132000732,7.025550545448711,11.155936709155023,9.96705147919488
1994,-4.718437628654759,-1.3138355357956155,-10.432496696854432,1.3259206774573897
1995,-1.5213191025555073,33.79883587292441,20.423927104524942,37.19519890260631
1996,-7.6547168704173,18.735986610915447,-1.8329720759685197,22.68096601886579
1997,-22.723809847613275,30.87562643915296,8.098855359340117,33.103653103653095
1998,-2.4002265985943905,26.302089891482773,13.098398831835855,28.337953278443585
1999,-1.7853457082443236,17.724953967845302,-10.652794145749434,20.885350992084476
2000,-8.541121558931675,-12.011811714907628,12.833800680567942,-9.031818955249278
